Customer,Serving Date,Item,Meal,Day,Portion Size grams or each,Order Amount,Quantity to Produce/Ship,Client,Frozen,Chilled,Shipment Date
Macey,17/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,2,0.25,25,6.3,,,,15/Jun/25
Dovercourt,17/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,2,0.25,25,6.3,,,,15/Jun/25
Richmond Hill CHATS,17/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,,0.25,0,0.0,,,,16/Jun/25
Vaughan CHATS,17/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,,0.25,50,12.5,,,,16/Jun/25
Bradford CHATS,17/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,,0.25,21,5.3,,,,16/Jun/25
Aurora CHATS,17/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,,0.25,25,6.3,,,,16/Jun/25
Macey,21/Jun/25,Tomato - Whole  (1 = 4 servings),Dinner,6,0.25,25,6.3,,,,20/Jun/25
Dovercourt,21/Jun/25,Tomato - Whole  (1 = 4 servings),Dinner,6,0.25,25,6.3,,,,20/Jun/25
Westover,1/Jul/25,Tomato - Whole  (1 = 4 servings),Dinner,6,0.25,43,10.8,,,x,23/Jun/25
Dovercourt,22/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,7,0.25,25,6.3,,,,20/Jun/25
Macey,22/Jun/25,Tomato - Whole  (1 = 4 servings),Lunch,7,0.25,25,6.3,,,,20/Jun/25
Vaughan CHATS,18/Jun/25,Tomato Sauce,Lunch,,30,48,1440,,,,16/Jun/25
Richmond Hill CHATS,18/Jun/25,Tomato Sauce,Lunch,,30,17,510,,,,16/Jun/25
Bradford CHATS,18/Jun/25,Tomato Sauce,Lunch,,30,21,630,,,,16/Jun/25
Aurora CHATS,18/Jun/25,Tomato Sauce,Lunch,,30,0,0,,,,16/Jun/25
Westover,1/Jul/25,Triple Berry Crumble,Lunch Dessert,6,1,42,42,,x,,23/Jun/25
Dovercourt,19/Jun/25,Tukrey Slices,Lunch,4,90,25,2250,,,,18/Jun/25
Westover,26/Jun/25,Tuna Salad - dressing with spices,Lunch,1,13.4,43,576.2,,,x,23/Jun/25
Westover,26/Jun/25,Tuna Salad - fish,Lunch,1,50.0,43,2150,,,x,23/Jun/25
Westover,26/Jun/25,Tuna Salad - onion,Lunch,1,10.0,43,430,,,x,23/Jun/25
Dovercourt,17/Jun/25,Turkey Bacon,Lunch,2,3,23,69,,,,15/Jun/25
Macey,17/Jun/25,Turkey Bacon,Lunch,2,3,23,69,,,,15/Jun/25
Westover,29/Jun/25,Turkey Bacon,Breakfast,4,3,43,129,,x,,23/Jun/25
Macey,21/Jun/25,Turkey Burger,Dinner,6,1,22,22,,,,20/Jun/25
Dovercourt,21/Jun/25,Turkey Burger,Dinner,6,1,25,25,,,,20/Jun/25
Westover,1/Jul/25,Turkey Burger,Dinner,6,1,42,42,,x,,23/Jun/25
Westover,27/Jun/25,Turkey Chili,Lunch,2,250,43,10750,,x,,23/Jun/25
Westover,28/Jun/25,Turkey Noodle Soup,Lunch,7,250,23,5750,,x,,23/Jun/25
Macey,19/Jun/25,Turkey Slices,Lunch,4,90,25,2250,,,,18/Jun/25
Westover,2/Jul/25,Turkey Stew,Dinner,7,250,43,10750,,x,,23/Jun/25
RH Saturday CHATS,21/Jun/25,Turkey Stew,Lunch,,170,10,1700,,,,18/Jun/25
Curlew,20/Jun/25,Turkey Stew,Lunch,5,187.5,25,4687.5,,,Hot,20/Jun/25
Aurora CHATS,20/Jun/25,Turkey Stew,Lunch,,170,18,3060,,,,18/Jun/25
Bradford CHATS,20/Jun/25,Turkey Stew,Lunch,,170,17,2890,,,,18/Jun/25
Richmond Hill CHATS,20/Jun/25,Turkey Stew,Lunch,,170,7,1190,,,,18/Jun/25
Vaughan CHATS,20/Jun/25,Turkey Stew,Lunch,,170,46,7820,,,,18/Jun/25
Macey,22/Jun/25,Turkey Stew,Dinner,7,250,23,5750,,,,20/Jun/25
Dovercourt,22/Jun/25,Turkey Stew,Dinner,7,250,25,6250,,,,20/Jun/25
Westover,29/Jun/25,Vanilla Pudding,Lunch Dessert R,4,1,1,1,Gluten Free,,x,23/Jun/25
Westover,30/Jun/25,Vanilla Pudding,Dinner Dessert,5,1,43,43,,,x,23/Jun/25
Westover,1/Jul/25,Vegetable Bowtie Pasta,Lunch,6,250,42,10500,,x,,23/Jun/25
Macey,16/Jun/25,Vegetarian Burger,Lunch R,1,1,1,1,386 - Vegetarian,,,15/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Amelia H - Vegetarian m,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Aminna T. - Beef,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Laya S - Vegetarian m/f,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Maryam D - Vegetarian m,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Mikaeel H - Vegetarian m,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Na'ay K - Vegan,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Ronith B. - Beef,,x,17/Jun/25
Macey,17/Jun/25,Vegetarian Burger,Dinner R,2,1,1,1,386 - Vegetarian,,,15/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Ruqayyan M - Vegetarian m,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Sai A.  - Beef,,x,17/Jun/25
Macey,18/Jun/25,Vegetarian Burger,Lunch R,3,1,1,1,386 - Vegetarian,,,15/Jun/25
Richmond Hill CHATS,17/Jun/25,Vegetarian Burger,Lunch R,,1,0,0,"Patricia J - Dairy, Vegetarian - no m/f",,,16/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Samyukta B. - Beef,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Tarasha K - Vegetarian m/f,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Virat T - Vegetarian m/f,,x,17/Jun/25
Curlew,17/Jun/25,Vegetarian Burger,Lunch R,2,1,1,1,Yusuf M - Vegetarian m,,x,17/Jun/25
Richmond Hill CHATS,17/Jun/25,Vegetarian Burger,Lunch R,,1,0,0,Yeshembet N - Vegan,,,16/Jun/25
Vaughan CHATS,17/Jun/25,Vegetarian Burger,Lunch R,,1,1,1,Kalash V. - Vegetarian - no meat/fish,,,16/Jun/25
Vaughan CHATS,17/Jun/25,Vegetarian Burger,Lunch R,,1,1,1,Lashmi S. M. - Vegetarian - no meat/fish,,,16/Jun/25
Aurora CHATS,17/Jun/25,Vegetarian Burger,Lunch R,,1,1,1,"Afsar F. - Beef, Pork",,,16/Jun/25
Aurora CHATS,17/Jun/25,Vegetarian Burger,Lunch R,,1,1,1,Gerry M. - Vegetarian m/f,,,16/Jun/25
Macey,21/Jun/25,Vegetarian Burger,Dinner R,6,1,1,1,386 - Vegetarian,,,20/Jun/25
Macey,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Dinner R,3,180,1,180,386 - Vegetarian,,,15/Jun/25
MIYM,26/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,,135,1,135,Zyair D. - Vegetarian m/f,x,,23/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Amelia H - Vegetarian m,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Laya S - Vegetarian m/f,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Maryam D - Vegetarian m,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Mikaeel H - Vegetarian m,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Na'ay K - Vegan,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Ruqayyan M - Vegetarian m,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Tarasha K - Vegetarian m/f,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Virat T - Vegetarian m/f,,x,18/Jun/25
Curlew,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,3,105,1,105,Yusuf M - Vegetarian m,,x,18/Jun/25
Vaughan CHATS,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,,135,1,135,Lashmi S. M. - Vegetarian - no meat/fish,,,16/Jun/25
Vaughan CHATS,18/Jun/25,Vegetarian Meatballs in Tomato Sauce,Lunch R,,135,1,135,Urmilla T. - Vegetarian - no meat/fish,,,16/Jun/25
Ying's,25/Jun/25,Watermelon,Lunch,,0.07,6,0.49,,,x,23/Jun/25
MIYM,25/Jun/25,Watermelon,Lunch,,0.07,7,0.49,,,x,23/Jun/25
Curlew,17/Jun/25,Watermelon,Lunch,2,0.07,40,2.8,,,x,17/Jun/25
Westover,26/Jun/25,Watermelon,Breakfast,1,0.05,43,2.15,,,x,23/Jun/25
Westover,1/Jul/25,Watermelon,Snack,6,0.05,43,2.15,,,x,23/Jun/25
Curlew,16/Jun/25,White Fish Bowtie Pasta,Lunch,1,187.5,36,6750,,,Hot,16/Jun/25
MIYM,24/Jun/25,White Fish Bowtie Pasta,Lunch,,170,8,1360,,x,,23/Jun/25
Ying's,24/Jun/25,White Fish Bowtie Pasta,Lunch,,170,6,1360,,x,,23/Jun/25
Richmond Hill CHATS,16/Jun/25,White Fish Bowtie Pasta,Lunch,,170,19,3230,,,,16/Jun/25
Bradford CHATS,16/Jun/25,White Fish Bowtie Pasta,Lunch,,170,16,2720,,,,16/Jun/25
Vaughan CHATS,16/Jun/25,White Fish Bowtie Pasta,Lunch,,170,28,4760,,,,16/Jun/25
Aurora CHATS,16/Jun/25,White Fish Bowtie Pasta,Lunch,,170,19,3230,,,,16/Jun/25
Aurora CHATS,16/Jun/25,"White fish bowtie pasta  - no dairy, legumes, tomato, peppers",Lunch R,,170,1,170,Aki K. - Dairy,,,16/Jun/25
Aurora CHATS,16/Jun/25,"White fish bowtie pasta  - no dairy, legumes, tomato, peppers",Lunch R,,170,1,170,"Charlie B. - Seeds, Berries, Corn, Cucumber, Rice, Peas, Legumes, Tomato",,,16/Jun/25
Aurora CHATS,16/Jun/25,"White fish bowtie pasta  - no dairy, legumes, tomato, peppers",Lunch R,,170,1,170,"Eileen. - Banana, Corn, Berries, Seeds, Rice, Legumes, Cucumber, Peas, Tomato",,,16/Jun/25
Aurora CHATS,16/Jun/25,"White fish bowtie pasta  - no dairy, legumes, tomato, peppers",Lunch R,,170,1,170,"Vincenza M. - Banana, Citrus, Potato, Tomato, Legumes, Rice",,,16/Jun/25
Westover,26/Jun/25,White Fish Bowtie Pasta and Vegetables,Dinner,1,250,42,10500,,x,,23/Jun/25
Richmond Hill CHATS,16/Jun/25,White Fish Bowtie Pasta Sauce,Lunch,,30,20,600,,,,16/Jun/25
Bradford CHATS,16/Jun/25,White Fish Bowtie Pasta Sauce,Lunch,,30,16,480,,,,16/Jun/25
Vaughan CHATS,16/Jun/25,White Fish Bowtie Pasta Sauce,Lunch,,30,28,840,,,,16/Jun/25
Aurora CHATS,16/Jun/25,White Fish Bowtie Pasta Sauce,Lunch,,30,20,600,,,,16/Jun/25
Westover,29/Jun/25,Whole Grain Pancakes,Breakfast,4,2,42,84,,x,,23/Jun/25
Westover,30/Jun/25,Whole Wheat Bagel,Breakfast,5,1,42,42,,x,,23/Jun/25
Macey,19/Jun/25,Whole Wheat Bread,Lunch,4,2,23,46,,,,18/Jun/25
Dovercourt,19/Jun/25,Whole Wheat Bread,Lunch,4,2,25,50,,,,18/Jun/25
Dovercourt,22/Jun/25,Whole Wheat Bread,Dinner R,7,1,1,1,"375- Dairy, Fish",,,20/Jun/25
Westover,26/Jun/25,Whole Wheat Bread,Breakfast,1,1,42,42,,,x,23/Jun/25
Westover,28/Jun/25,Whole Wheat Bread,Lunch,3,2,23,46,,,x,23/Jun/25
MIYM,25/Jun/25,Whole Wheat Pita,Snack,,1,7,7,,,x,23/Jun/25
Curlew,17/Jun/25,Whole Wheat Pita,PM Snack,2,0.5,40,20,,,x,17/Jun/25
MIYM,27/Jun/25,Yogurt - Assorted Flavours,Snack,,1,8,8,,,x,23/Jun/25
Curlew,19/Jun/25,Yogurt - Assorted Flavours,PM Snack,4,1,34,34,,,x,19/Jun/25
Curlew,20/Jun/25,Yogurt - Assorted Flavours,AM Snack,5,1,34,34,,,x,19/Jun/25
Westover,27/Jun/25,Yogurt - Assorted Flavours,Breakfast,2,1,43,43,,,x,23/Jun/25
Westover,28/Jun/25,Yogurt - Assorted Flavours,Snack,3,1,24,24,,,x,23/Jun/25
Westover,29/Jun/25,Yogurt - Assorted Flavours,Snack,4,1,43,43,,,x,23/Jun/25
Westover,1/Jul/25,Yogurt - Assorted Flavours,Snack,6,1,43,43,,,x,23/Jun/25
Westover,2/Jul/25,Yogurt - Assorted Flavours,Snack,7,1,43,43,,,x,23/Jun/25
